txn_year,MCC,total_spending,txn_count,avg_per_txn,grid_col,grid_row
2008,1711,17585.51,116,151.59922413793103,0,0
2007,1711,16942.64,115,147.32730434782607,1,0
2006,1711,17055.37,111,153.65198198198198,2,0
1996,1711,272.97,2,136.485,3,0
2005,1711,10797.32,71,152.0749295774648,4,0
1995,1711,649.4300000000001,4,162.35750000000002,5,0
2009,1711,22244.93,145,153.41331034482758,6,0
2004,1711,7559.6,57,132.62456140350878,7,0
2017,1711,27859.27,183,152.23644808743168,8,0
1997,1711,1001.19,5,200.238,9,0
2016,1711,25227.04,161,156.6896894409938,0,1
2010,1711,29083.63,191,152.27031413612565,1,1
2019,1711,28250.79,183,154.37590163934428,2,1
2011,1711,26092.76,172,151.7020930232558,3,1
2002,1711,4707.43,32,147.1071875,4,1
2003,1711,6301.51,41,153.69536585365853,5,1
2018,1711,26117.53,180,145.09738888888887,6,1
1999,1711,1265.03,8,158.12875,7,1
2001,1711,5889.26,39,151.00666666666666,8,1
1994,1711,114.54,1,114.54,9,1
2015,1711,25817.43,169,152.7658579881657,0,2
2000,1711,3125.66,19,164.50842105263158,1,2
2020,1711,4212.68,32,131.64625,2,2
2013,1711,24313.69,157,154.86426751592356,3,2
2012,1711,26645.47,175,152.25982857142859,4,2
1998,1711,1466.1100000000001,11,133.28272727272727,5,2
2014,1711,26802.46,177,151.42632768361582,6,2
2015,3000,145275.22,201,722.762288557214,7,2
2007,3000,81545.95,115,709.0952173913043,8,2
1992,3000,477.57,1,477.57,9,2
2008,3000,115143.59,155,742.8618709677419,0,3
1994,3000,1558.18,2,779.09,1,3
2014,3000,158015.63,221,715.002850678733,2,3
2009,3000,142444.22,190,749.7064210526316,3,3
2016,3000,150976.07,195,774.2362564102565,4,3
2012,3000,141985.11,194,731.8820103092783,5,3
2010,3000,137425.47,184,746.877554347826,6,3
2011,3000,157873.38,205,770.1140487804878,7,3
1995,3000,2386.6800000000003,5,477.33600000000007,8,3
2013,3000,179439.93,238,753.9492857142857,9,3
2018,3000,160164.86,226,708.6940707964601,0,4
2002,3000,26894.75,33,814.9924242424242,1,4
2000,3000,13861.71,20,693.0854999999999,2,4
2019,3000,128171.61,178,720.0652247191011,3,4
2020,3000,17897.72,31,577.3458064516129,4,4
2003,3000,35902.37,48,747.9660416666667,5,4
1997,3000,2740.0,4,685.0,6,4
2017,3000,166887.08,220,758.5776363636363,7,4
2004,3000,46922.15,70,670.3164285714286,8,4
1998,3000,5044.8,8,630.6,9,4
2001,3000,26341.88,36,731.718888888889,0,5
1999,3000,8909.17,11,809.9245454545454,1,5
1996,3000,2304.7200000000003,4,576.1800000000001,2,5
2006,3000,73647.62,113,651.7488495575221,3,5
2005,3000,74360.37,100,743.6037,4,5
1998,3001,5691.97,9,632.4411111111111,5,5
2000,3001,19529.32,27,723.3081481481481,6,5
2013,3001,154829.25,208,744.3713942307693,7,5
2014,3001,150790.43,203,742.81,8,5
2018,3001,172522.37,231,746.8500865800866,9,5
2020,3001,14401.95,21,685.8071428571429,0,6
1999,3001,4101.39,5,820.278,1,6
2012,3001,153830.36,213,722.2082629107981,2,6
1993,3001,70.87,1,70.87,3,6
2006,3001,84672.32,117,723.6950427350428,4,6
